# Gungraun Callgrind Ir baselines; refresh only on the named CI toolchain.
# Marginal values are exact (rows_1000 - rows_100) / 900 fractions.
# Run: crates/coseva/scripts/perf_gate.py --refresh
matrix::matrix::record_slice::metrics	2844160
quoted::quoted::slice::interior_1000	1025885
window::window::io_long_multibyte::bytes_32	174761
mapping::mapping::map_all::w200	218095
mapping::mapping::map_one::w200	8792
mapping::mapping::map_two::w200	15549
mapping::wide_select::select_two_narrow::marginal_100_1000	42639/50
mapping::wide_select::select_two_wide::marginal_100_1000	8850
mapping::projection::project_byte_record::marginal_100_1000	146
mapping::projection::project_text_record::marginal_100_1000	146
mapping::projection::project_lending_record::marginal_100_1000	4926
index::seeking::seek::at_last	32119
literal_search::literal_search::absent_needle::rare_leading	263014
literal_search::literal_search::absent_needle::common_leading	263053
literal_search::literal_search::positioned_search::present_early	917
literal_search::literal_search::positioned_search::present_late	263021
literal_search::literal_search::positioned_search::near_hit_absent	89124273
startup::startup::construct_200::w	782
matrix_byte_record_io::matrix_byte_record_io::byte_record_io::metrics	5059841
matrix_byte_record_io::matrix_byte_record_io::byte_record_io::wide	3953511
matrix_byte_record_io::matrix_byte_record_io::byte_record_io::quoted	3965341
matrix_byte_record_io::matrix_byte_record_io::byte_record_io::prose	1000126
matrix_byte_record_io::matrix_byte_record_io::byte_record_io::spreadsheet	5639288
matrix_byte_record_io::matrix_byte_record_io::byte_record_csv::metrics	6618600
matrix_byte_record_io::matrix_byte_record_io::byte_record_csv::wide	6627414
matrix_byte_record_io::matrix_byte_record_io::byte_record_csv::quoted	4617774
matrix_byte_record_io::matrix_byte_record_io::byte_record_csv::prose	2839158
matrix_byte_record_io::matrix_byte_record_io::byte_record_csv::spreadsheet	6117013
encode::encode::vec::marginal_100_1000	799
encode::encode::push::marginal_100_1000	120643/150
encode::encode::io::marginal_100_1000	136031/180
encode::encode::vec_encode::marginal_100_1000	1617
encode::encode::vec_serialize::marginal_100_1000	1870
encode::staging::narrow_builder::marginal_100_1000	494
encode::staging::wide_builder::marginal_100_1000	2242
encode::activated::quoting_non_numeric::rows_1000	626534
encode::sink_backed::sink_drain::io_full_small	8426
encode::sink_backed::sink_drain::io_partial_small	8545
encode::sink_backed::sink_drain::encode_full_threshold	138763
encode::sink_backed::sink_drain::encode_partial_threshold	128222
encode::sink_backed::sink_drain::io_full_oversized	387957
encode::sink_backed::sink_drain::encode_partial_oversized	343623
index::building::build::marginal_100_1000	132619/225
index::building::create::marginal_100_1000	348191/450
index::building::generate::marginal_100_1000	1481557/450
index::generate_shapes::generate_raw::marginal_100_1000	1544107/450
filter::equals::equals_filtered::all	521016
filter::equals::push_equals_filtered::thousandth	2707367
filter::contains::late_contains_filtered::thousandth	366187
filter::contains::push_late_contains_filtered::all	2934752
filter::equals::io_equals_filtered::thousandth	390160
filter::equals::push_equals_filtered_large::thousandth	423330
filter::equals::long_equals_filtered::sparse	360583
filter::equals::long_late_equals_filtered::sparse	360845
quoted::quoted::slice::dense_1000	1125571
decode::borrowed::slice_borrowed::marginal_100_1000	141958/225
decode::borrowed::io_borrowed::marginal_100_1000	178598/225
decode::borrowed::push_borrowed::marginal_100_1000	132647/180
decode::borrowed::slice_serde_borrowed::marginal_100_1000	197531/225
decode_wide::borrowed::slice_borrowed::marginal_100_1000	3071
deserialize::borrowed::slice_borrowed::marginal_100_1000	205406/225
read_record::read_record::slice::marginal_100_1000	191219/450
byte_record::byte_record::slice::marginal_100_1000	634439/900
text_record::text_record::slice::marginal_100_1000	676739/900
set_field::set_field::equal::width_128	6879
matrix_byte_record::matrix_byte_record::byte_record_slice::metrics	4351584
matrix_byte_record::matrix_byte_record::byte_record_slice::quoted	3318522
width_sweep::width::slice_200::marginal_100_1000	5191
materialization::materialization::owned_200	9792445
decode_into::decode_into::wide_decode_into	5198896
bulk_decode::bulk::narrow_ordered::marginal_100_1000	1042
bulk_decode::bulk::wide_ordered::marginal_100_1000	13778
dialects::dialects::specialized::marginal_100_1000	406751/450
dialects::dialects::specialized_static::marginal_100_1000	288419/450
dialects::dialects::general_crlf::marginal_100_1000	115117/90
dialects::dialects::general_mysql_escape::marginal_100_1000	122073/100
dialects::triggered::trim_quoted_fallback::rows_1000	1079294
dialects::triggered::trim_quoted_control::rows_1000	510910
needs_quotes::quoting::newline_dispatch::w24	89057
needs_quotes::quoting::newline_dispatch::w32	48366
needs_quotes::quoting::newline_blocks::w16	107047
needs_quotes::quoting::newline_blocks::w32	48355
needs_quotes::quoting::newline_words::w16	76063
needs_quotes::quoting::newline_words::w32	134063
dispatch::dispatch::scalar	475176
dispatch::dispatch::selected	98657
